DESCRIPTIONS,severity,severity_score
WE ARE NOT ABLE TO FIND WHICH MRN HAS BEEN USED IN SUPPLIER BILL OR WHICH ARE PENDING ...WHICH HAS BECOME A MAJOR ISSUE  FOR USER . PLS PROVIDE SOME SOLUTION OR ANY COUMN IN MRN SO THAT WE SHOULD COME TO KNOW ABOUT THE SUPPLIER BILL NO. IN MRN FORM.  MRN NO. 201812341 PARTY NAME :- ANUBHAV AUTO  THIS MRN ALSO NOT SHOWING IN SUPPLIER BILL.   PLS CHECK AND RESOLVE THE ISSUE.,,50
"IN EMPLOYEE MASTER,  POPUP PROBLEM IN DESIGNATION TAB ...POPUP REFLECTS DATA BUT TAKES TOO MUCH TIME TO SHOW.",,50
"GST impact  wrong in Sales invoice against delivery note.  Sales invoice no- JWI/24-25/381,  Slaes Order no- OSO/22-23/153  and next three invoice details find the attached file  Please correct GST impact in Sales voucher and reports also",,50
"Please change  purchase invoice and purchase voucher (auto), PI/24-25/2  Transaction status CAA to Approved and also all SGST data put in IGST And its impact should be shown in the All Reports.",,35
"IN ATTENDANCE REPORT , OUT TIME & STATUS IS NOT SHOWING BUT HAS BEEN APPROVED IN ATTENDANCE APPROVAL.  EMPLOYEE CODE - 72048  NAME- VIPIN",,50
IN ITEM MASTER WE ARE NOT ABLE TO EDIT THE HSN CODE AND ITS NOT GETTING UPDATE.  ITEM CODE-10068  HSN CODE-998212,,35
"THERE ARE 2 ITEMS IN THE PURCHASE REQUISITION AND WHEN WE CREATE PO , 3 ITEMS ARE SHOWING .  AND WHEN WE DELETE THE EXTRA ROW OF THAT ITEM ...THAT IS NOT GETTING REMOVE FROM PO..  PO NO. PO/2425/330  ",,50
PO NO. 201810514 NOT REFLECTING IN INWARD NOTE.  SUPPLIER- UNIVERSAL INDUSTRIAL CORPORATION,,50
In Manual Know off  is not impacted CAA functionality and after CAA not correctly impacted in ageing report,,50
Please Complete Work as Per System.  ATTENDENCE ISSUE 4TH JANUARY OUT STATUS NOT SHOW    TESTER:LAIMA,,50
Please Complete Work as Per System.  SECURITY CODE:9971618201  CHECK LIST KO DATABASE ME UPLOAD KRNA HE,,50
Please Complete Work as Per System.    MRN NO. 20186555    NO STOCK IMPACT    TESTER -LAIMA,,50
Please Complete Work as Per System.  MRN NO. 20186555  NO STOCK IMPACT  TESTER -LAIMA,,50
"Please Complete Work as Per System.    DESCRIPTION- SQ NO. DT/576/SQ  ON EDIT LOADER RUNNING. PLS CHECK    TESTER- LAIMA, VIPIN",,50
"STORE REQUISITION- 201899983   NOT ABLE TO CREATE STORE ISSUE.  BATCH ME SPACE HAI.  TESTER- LAIMA, VIPIN  ",,50
REPORT NOT WORKING PROPERLY AS DISCUSSED.  FILE ATTACH.,,90
"20186828  PLS CHANGE THE PARTY NAME TO SHIVAM AUTOTECH LIMITED(BINOLA)  TESTER - LAIMA, VIPIN",,35
"PO/2425/1833  NOT ABLE TO CHANGE DATE.  DOC DATE ALERT SHOW   SS ATTACH.  TESTER- LAIMA , VIPIN",,35
"In BTW  1 , Sales Qty Showing Wrong its showing 130 Pcs in Dec,2024 and in extra  module - Sales invoice Report its showing 125 Pcs   Tester Name - Laima, Vipin",,50
"Please Complete Work as Per System.  https://docs.google.com/spreadsheets/d/1goq5FsSpWzrymDM6PRLav3VTJlYBTfVi/edit?usp=sharing&ouid=114662850596974252574&rtpof=true&sd=true  TESTER - LAIMA, VIPIN",,50
"Inward no.-IN/24-25/2743  DATA NOT SHOWING   PLS RESOLVE ASAP.  TESTER- LAIMA, VIPIN  ",,50
"https://docs.google.com/spreadsheets/d/1-X40WE_fcfVALhxQ_oVOLRThtDVbRtb2/edit?usp=sharing&ouid=114662850596974252574&rtpof=true&sd=true  TESTER- LAIMA, VIPIN",,50
"Please Complete Work as Per System.  https://docs.google.com/spreadsheets/d/1RUOCWjoIXghEkjwn-VlBctY6GYJcBpkF/edit?usp=sharing&ouid=114662850596974252574&rtpof=true&sd=true  TESTER- LAIMA, VIPIN",,50
Please Complete Work as Per System  ,,50
Please Complete Work as Per System.  https://docs.google.com/spreadsheets/d/13nkAJdfRlPWID7C69WqpYVoR4kcIYYmN/edit?usp=sharing&ouid=114662850596974252574&rtpof=true&sd=true  ,,50
"PFA for remove live chat image in old Dashboard request from sidharth sir Tester - Vipin, Laima",,35
"Ticket Widget    From DateTime  To DateTime  Status with Red, Green, Yellow, color    UI on Mobile   Search fields sort kar deti hai on click  as Discussed with ram sir and request from Sidharth sir pls as per request Tester - Vipin, Laima",,35
"Ticket Widget    Blue colour change to Grey    Reduce the row height padding  as Discussed with ram sir and request from Sidharth sir pls as per request Tester - Vipin, Laima",,35
"GE/24-25/2667  PLS TELL WHO HAS DONE THE TRANSACTION.(CREATE, APPROVE)  TESTER- LAIMA , VIPIN",,50
Please Complete Work as Per System.    FORM NAME:PHYSICAL STOCK EXECUTE    DESCRIPTION-  PLS CORRECT THE DATA AS DISCUSSED WITH RAM SIR    TESTER:LAIMA,,50
Please Complete Work as Per System.    DESCRIPTION- CHANGE SL CODE AS GIVEN IN ATTACHMENT  TESTER: LAIMA,,35
Please Complete Work as Per System.  DESCRIPTION- CLIENT REQUIREMENT DATA GETTING REMOVE ON EDIT . PLS CHECK.    SERACH FILTER NOT WORKING     TESTER:LAIMA,,90
Please Complete Work as Per System.    DISCRIPTION:-  CHANGE NAME MATERIAL TAB TO ITEM   TESTER:LAIMA    ,,35
"Please Complete Work as Per System.    SALES ENQUIRY ASSIGN    DESCRIPTION- ENQUIRY MEDIA SHOWING IN NUMBER ID INSTEAD OF NAME (AS IN SE)    TESTER:LAIMA ,VIPIN",,50
"Please Complete Work as Per System.  DISCRIPTION:-ADD ITEM DESCRIPTION  FORM:- REQUEST FOR QUOTATION    LINK:-https://docs.google.com/spreadsheets/d/1pgE2vVYAq3fSDAjMlNS3xX_iN2CG3fgV/edit?usp=sharing&ouid=116593209008636936570&rtpof=true&sd=true    TESTER:-LAIMA , VIPIN",,35
"Please Complete Work as Per System.  DISCRIPTION:-ADD ITEM DISCRIPTION   FORM NAME:SUPPLIER QUOTATION    TESTER:LAIMA, VIPIN    LINK:https://docs.google.com/spreadsheets/d/12_WoF2X7QuVlDcgVR0CeyqdhtnZw7Sf-/edit?usp=sharing&ouid=116593209008636936570&rtpof=true&sd=true      ",,35
"Please Complete Work as Per System.  DISCRIPTION:ADD ITEM DESCRIPTION    TESTER:- LAIMA , VIPIN    LINK:-https://docs.google.com/spreadsheets/d/1jBhpr85_nV4Mlon43T1ay4eBZ9J1fR9m/edit?usp=sharing&ouid=116593209008636936570&rtpof=true&sd=true  ",,35
"Please Complete Work as Per System.    DESCRIPTION- SEARCH FILTER NOT WORKING    TESTER:LAIMA , VIPIN",,90
"STORE- DISPATCH   JO NEGATIVE STOCK  HAI PHYSICAL STOCK EXECUTE ME LESS THAN ZERO , VO MATCH NHI KAR RHA HAI BATCH WISE STOCK 1 SE .   ",,50
"Add 2 columns - Approx rate , Approx value.  In purchase requisition, rate should autopick from latest approved Supplier order/ supplier orde amendment of that item and if item rate is not found , then manually put functionality should be there.  ",,35
"SKU- A006015G-1200  IN BATCH WISE STOCK 1 , 161 CLOSING STOCK IS SHOWING OF BATCH CODE-197960  INSTEAD OF ZERO.  PLS CHECK.",,50
"New Item me Batch Format se Batch select karke Item Production m entry krte hai to Bundle number blank save hota h but usi item ki dubara entry karte hai to next bundle number means batch number generate ho jata hai Tester - Vipin, Laima",,50
Please Complete Work as Per System.    PR NO:201812826    NOT SHOW  PR SEARCH  MENU    TESTER:LAIMA,,50
"Please Complete Work as Per System.  DISCRIPTION:  Supplier order amendment m supplier order ki ship  to details show karegi   TESTER:VIPIN ,LAIMA",,50
Please Complete Work as Per System.  DESCRIPTION:-JOBWORK INWARD ME JB TK MRN SAVE NHI HOGA RECORD ME  JB TK FINNANCIAL YEAR SAVE NA HO    TESTER:DEEPAK,,50
ADD SHIP TO  DETAILS IN SUPPLIER QUOTATION FROM RFQ  https://docs.google.com/spreadsheets/d/12-rrqW5fdZvzMYc-HJPu74A1nmmP1CWf/edit?usp=sharing&ouid=114662850596974252574&rtpof=true&sd=true,,35
ADD SHIP TO  DETAILS IN SUPPLIER ORDER FROM SUPPLIER QUOTATION  https://docs.google.com/spreadsheets/d/1psPFgsBWthYYWnbfmXLLflEs0swsxyUM/edit?usp=sharing&ouid=114662850596974252574&rtpof=true&sd=true,,35
Please Complete Work as Per System.  https://docs.google.com/spreadsheets/d/1Sbi0NEqddCDVhRJnya4nvaxgqvYw8KXG/edit?usp=sharing&ouid=114662850596974252574&rtpof=true&sd=true,,50
"PLS REMOVE THE PERMISSION   72027  ACCOUNT   PURCHASE MANAGER  REMOVE PERMISSION IN PURCHASE  TESTER- LAIMA , VIPIN",,50
"Please Complete Work as Per System. https://docs.google.com/spreadsheets/d/1IgmI1m3i1lTUjBAZ7_VRaIFBZ-rrHrKd/edit?gid=262328656#gid=262328656  Tester - Vipin, Laima, SHashi",,50
In Sales Voucher Auto Doc. No.-SI/24-25/684 showing  double and its impact on GL trial Showing Doubles . It should Show only One Time,,50
"Please Complete Work as Per System.    USERNAME Correction     ST060Deepak -  Correct User Name - ST060  Harsh059 - Correct User Name - ST059  Pranav58 - Correct User Name - ST058    TESTER:DEEPAK,LAIMA  ",,50
"Please Complete Work as Per System.    BRV NO.BRV/24-25/463  SALES INVOICE - JWI/24-25/2069  BALANCE AMOUNT MISMATCH WITH KNOCK OFF DETAIL REGISTER    TESTER:LAIMA , VIPIN",,50
Please Complete Work as Per System.    ADMIN DASHBOARD/USER DASHBOARD    DATE KY ACCORDING DATA FILTER NHI HO RHA      SEARCH FILTER NOT  WORKING   TESTING :-LAIMA  ,,50
Please Complete Work as Per System.    TKT NO:152830  TICKET CLOSE  KRNE PAR LOADER  CHL RHA  HE  CLOSE NHI HO RHI,,50
"Please Complete Work as Per System.    SKU -785892-P60(F) ,  Batch code- BS243681  CONSUMPTION SKU-785892-P30(C)     SKU-785894-P80(HT), Batch code-BS243682  CONSUMPTION SKU- 785894-P60(F)     NOT GATTING SAVE  SCREENSHOT ATTECHED    TESTER:LAIMA",,50
PLS ADD EMPLOYEE CODE IN BRACKET WITH EMPLOYEE   NAME.  EMPLOYEE NAME(CODE)  ,,35
Please Complete Work as Per System.    DISCRIPTION:-ADD ITEM DESCRIPTION IN CONSUMABLE TAB ALSO    TESTER:LAIMA,,35
"Please Complete Work as Per System.    PURCHASE REQUISITION FORM ME PRINT OR VIEW  PAR RATE & VALUE  ADD KRNA HE     TESTER:LAIMA,DEEPAK",,35
"Please Complete Work as Per System.    https://docs.google.com/spreadsheets/d/1wgMMpYkUwkPb4SvTTgG3df7XTWVLwp0N/edit?usp=sharing&ouid=116593209008636936570&rtpof=true&sd=true    TESTER:SHASHI,LAIMA,VIPIN",,50
"Please Complete Work as Per System.    TESTER:SHASHI,LAIMA,VIPIN    LINK:    https://docs.google.com/spreadsheets/d/1XQTGl4-mOubqwKG73bC9rz4VyjScvMmn/edit?usp=sharing&ouid=116593209008636936570&rtpof=true&sd=true",,50
"Please Complete Work as Per System.    TESTER:SHASHI,LAIMA,VIPIN    LINK:  https://docs.google.com/spreadsheets/d/1XAudAB104p_rBKcI7s9MfHSV7sIVbD-D/edit?usp=sharing&ouid=116593209008636936570&rtpof=true&sd=true",,50
Please Replace batch(.) to Batch(*) in SKU- SS-10A003/004-P60(F) and related area .So that closing stock in Batch Wise Stock 1 shown in this batch.,,50
Please Complete Work as Per System.  AUTOMATION TESTING IMPLEMENTATION    TESTER:VISHAL ,,50
Please Complete Work as Per System.    AUTOMATION TESTING IMPLEMENTATION     TESTER:VISHAL,,50
"Please Complete Work as Per System.  ASSET DEPRECIATION GENERATION: ME  RESET KY  BAAD  FY OR  FROM DATE  PICK KR RHA HE     OR GENRATE KRNE KY BAAD   BLACK ALERT AA RHA  HE OR DATA NHI AA RHA    VIDEO  ATTECHED    TESTER:LAIMA ,DEEPAK",,50
Please Complete Work as Per System.    assign permission me   ajay ko store module ki permission dete samay    alert aa rha he   atteched ss,,50
Please Complete Work as Per System.    validation of only one default address     Tester :laima,,35
"Please Complete Work as Per System.    SE NO:-DT/754/SE    DATA SHOW NHI HO RHA SEARCH KRNE PR    TESTER:LAIMA,DEEPAK  ",,50
Please Complete Work as Per System.  DASHBOARD/WIDGET PERMISSION    https://docs.google.com/spreadsheets/d/1DhRkMZx3BmZKn2DHqsf3_8tN5vwNj8-b/edit?usp=sharing&ouid=116593209008636936570&rtpof=true&sd=true    Tester:laima  ,,50
Please Complete Work as Per System.    SALES QUOTATION QTY FX AND RATE FX    https://docs.google.com/spreadsheets/d/1Du7MsbXNP2VHNaHGPrcY0X_AER_ZMCQ9/edit?usp=sharing&ouid=116593209008636936570&rtpof=true&sd=true    Tester:laima,,50
"Please Complete Work as Per System.    ALL STORE  ALL ITEM KA DATA  EXCEL ME EXPORT NHI HO RHA      LOADER GHUM RHA HE   SS ATTECHED  TESTER : LAIMA,DEEPAK  ",,50
Please Complete Work as Per System.    https://docs.google.com/spreadsheets/d/1HJIrlBJ36VQpaDSpYDHVMpTqgrH-rquo/edit?usp=sharing&ouid=116593209008636936570&rtpof=true&sd=true    TESTER:LAIMA,,50
"Please Complete Work as Per System.    INWARD NOTE   DATA NOT SHOW   PO NO:- PO/2425/1991     TESTER LAIMA,DEEPAK      ",,50
"Please Complete Work as Per System.    INWARD NOTE   DATA NOT SHOW   PO NO:- PO/2425/1991     TESTER LAIMA,DEEPAK      ",,50
"Please Complete Work as Per System.  PHYSICAL STOCK EXECUTE    REPORT ME  SEARCH KRNE PR DOCUMENT DATE  BLANK DIKH RHA HE    TESTER:LAIMA,DEEPAK  ",,50
Please Complete Work as Per System.      update t_stock_manage set FYId=10 where FYId is null    TESTER:LAIMA,,35
Please Complete Work as Per System.    VIEW AND APPROVE KY TIME PAR LOADER CHL RHA HE    TESTER:LAIMA  ,,50
Please Complete Work as Per System.    CHANGE REQUEST  CUSTOMER MASTER  TESTER:LAIMA,,35
Please Complete Work as Per System.    ITEMMASTERWBS  WBS LINK:    https://docs.google.com/spreadsheets/d/1M9TcfYLPeCPXx8kx_1veNs3zrO2OFsgB/edit?usp=drive_link&ouid=112863349863108307429&rtpof=true&sd=true,,50
Please Complete Work as Per System.  PURCHASE FMS     REPORT NOT WORKING PROPERLY    TESTER:LAIMA,,90
"ADD BUTTON NOT WORKING.  PLS CHECK  TESTER- LAIMA, VIPIN",,90
Please Complete Work as Per System.    AUDITOR DASHBOARD ME   KISI KISI ENTRY KY ANDAR   AUDITOR NAME SHOW NHI HO RHA     OR  KCH ENTRY ME AUDITEE NAME REPEAT HO RHA HE   PDF ATTECHED    TESTER:LAIMA,,50
Please Complete Work as Per System.  SALES INVOICE AGAINST DELIVERY NOTE    NOT WORK  PROPER   SS ATTACHED    TESTER:LAIMA  ,,50
"Please Complete Work as Per System. In Item Production Bundle Number jump BSMA/24-25/82740 Direct to BSMA/24-25/82789 Pls find Solution Tester - Vipin, Laima",,50
"Please Complete Work as Per System. In physical Execute Batch code m ek bundle number dalte hai to wo kabhi kabhi overall bundle auto complete m aata hai Tester - Vipin, Laima",,50
Please remove permission   DEPARTMENT- ACCOUNT  DESIGNATION- STORE EXECUTIVE  EMPLOYEE NAME- ALOK    ,,50
For training-Mini   ,,50
PLease make Closing Stock from Negative to Zero for SKU which is given in attached excel Sheet.,,50
DNSO/24-25/3002  SHOWING DOUBLE TIME IN SALES INVOICE AGAINST DELIVERY NOTE  PLS CHECK,,50
Please Complete Work as Per System.,,50
PACKING SLIP SAVE NHI HORHI.  CUSTOMER NAME-R.R. Enterprises  SS ATTACH.,,50
Name:- Arvind  Employee Code:-71276  Department:- Engineering  designation:-Engineering Executive  MODULE- STORE.  PLS REMOVE PERMISSION OF THIS MODULE.,,50
Please Complete Work as Per System.,,50
